word,label,score
um,positive,0.03444116024603619
it,positive,0.025213112646621044
lot,positive,0.018056329210226752
was,positive,0.017665206041319353
just,positive,0.017458651192117175
me,positive,0.015959513996407132
that,positive,0.012627918125538484
like,positive,0.012348003079551403
mhm,positive,0.011793611095473604
basically,positive,0.011121632206075618
in,positive,0.011115751662810217
alright,positive,0.010367363782546414
mean,positive,0.010361253291551725
people,positive,0.010341594496895777
therapist,positive,0.010320044110605858
well,positive,0.010203946810336276
really,positive,0.009976456523499697
so,positive,0.009393595829242082
to,positive,0.009309094869425882
help,positive,0.00924437396323605
yeah,positive,0.009059482939790281
sniff,positive,0.009048790256245994
and,positive,0.008886201087365375
do,positive,0.008877338217475855
son,positive,0.00863520552104989
medication,positive,0.008154358815906787
for,positive,0.007755011831132974
not,positive,0.007593812898480198
therapy,positive,0.00753323316188921
they,positive,0.007423012333043141
who,positive,0.007347747938682455
anymore,positive,0.007183242021019666
been,positive,0.007033130636181384
asleep,positive,0.006989543571560902
sleep,positive,0.006957647557171001
she,positive,0.00678701415989293
diagnosed,positive,0.006578850625396188
have,positive,0.006330694259384748
feel,positive,0.00628981672635694
things,positive,0.006277288152130245
disturbing,positive,0.006271599551067968
probably,positive,0.00616390713382458
animals,positive,0.006127418133757757
dog,positive,0.006075421475835422
sigh,positive,0.005927768195488153
started,positive,0.0058245624119430545
depressed,positive,0.005647488890583829
try,positive,0.005562575238949711
everyone,positive,0.005519348869862235
schedule,positive,0.0055167842674986685
hours,positive,0.005496424434176383
children,positive,0.005384332082545922
through,positive,0.00537679937831822
moment,positive,0.005308045800485614
ve,positive,0.005276364037701327
psychology,positive,0.005273430246626648
state,positive,0.00524704580098055
scary,positive,0.005205252922564298
psychiatrist,positive,0.005192704226171264
shit,positive,0.005136010968724759
afraid,positive,0.005115562926638714
forget,positive,0.004976921722529246
has,positive,0.004888913527095447
kind,positive,0.00487880762550633
certain,positive,0.004805693891183182
reading,positive,0.004779726874811576
those,positive,0.004754584403743788
types,positive,0.004703600654849664
angry,positive,0.004694350465940879
tied,positive,0.004671208277737118
graduated,positive,0.004645881252357174
parent,positive,0.004645460951521905
depression,positive,0.004607470654277532
night,positive,0.004546884483944229
gotten,positive,0.00452214194234977
during,positive,0.004410341557009371
walk,positive,0.0043700058979903944
police,positive,0.004267988306672655
few,positive,0.004252610822612307
all,positive,0.004233866564222519
annoying,positive,0.004230767338734389
quiet,positive,0.00419014844195259
aunt,positive,0.004157403290542009
near,positive,0.004131890932235376
anything,positive,0.004126183573268877
best,positive,0.004112036583612241
dancing,positive,0.004101804671530406
cars,positive,0.004096095126416464
gun,positive,0.004041965002382332
go,positive,0.004019782344116693
coast,positive,0.00401214622574663
fairly,positive,0.003954312054259001
trigger,positive,0.003949178019070366
anxiety,positive,0.003944541400646979
which,positive,0.003935615348342379
mother,positive,0.003921548691815834
decided,positive,0.003917924683889762
tools,positive,0.003908966445352076
memorable,positive,0.0038927202222842315
annoyed,positive,0.0038808008531246844
